Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_000178115.2	ASM17811v2	Ethanoligenens harbinense YUAN-3		YUAN-3					GCF_000178115.2-RS_2024_04_11	Complete Genome	2010-12-27		1
GCF_009664085.1	ASM966408v1	Thermochromatium tepidum ATCC 43061		ATCC 43061					GCF_009664085.1-RS_2024_05_05	Complete Genome	2019-11-15		1
GCF_000305935.1	ASM30593v1	Thermacetogenium phaeum DSM 12270		DSM 12270					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2012-10-17		1
GCF_900187315.1	52087_C01	Listeria welshimeri		NCTC11857					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-08-15		1
GCF_022749495.1	ASM2274949v1	Neisseria macacae ATCC 33926		ATCC 33926					GCF_022749495.1-RS_2024_04_11	Complete Genome	2022-03-29		1
GCF_003544935.1	ASM354493v1	Malaciobacter molluscorum LMG 25693		CECT 7696					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-09-11		1
GCF_016127495.1	ASM1612749v1	Kytococcus sedentarius		FDAARGOS_1061					GCF_016127495.1-RS_2024_04_06	Complete Genome	2020-12-20		1
GCF_002218045.2	ASM221804v2	Vibrio rumoiensis		FERM P-14531					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-06-06		4
GCF_000213235.1	ASM21323v1	Tepidanaerobacter acetatoxydans Re1		Re1					GCF_000213235.1-RS_2024_04_26	Complete Genome	2011-05-12		1
GCF_029024945.1	ASM2902494v1	Staphylococcus succinus		DSM 14617					GCF_029024945.1-RS_2024_03_29	Complete Genome	2023-03-08		3
GCF_000024465.1	ASM2446v1	Candidatus Puniceispirillum marinum IMCC1322		IMCC1322					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2010-03-31		1
GCF_017161265.1	ASM1716126v1	Treponema medium		ATCC 700293					GCF_017161265.1-RS_2024_03_29	Complete Genome	2021-03-03		1
GCF_020099275.1	ASM2009927v1	Corynebacterium falsenii		FDAARGOS_1494					GCF_020099275.1-RS_2024_11_06	Complete Genome	2021-09-23		1
GCF_000767055.1	ASM76705v1	Corynebacterium doosanense CAU 212 = DSM 45436		CAU 212(T)					GCF_000767055.1-RS_2024_05_02	Complete Genome	2014-10-16		2
GCF_000012305.1	ASM1230v1	Psychrobacter arcticus 273-4		273-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2005-07-20		1
GCF_030440575.1	ASM3044057v1	Corynebacterium ciconiae DSM 44920		DSM 44920					GCF_030440575.1-RS_2024_07_13	Complete Genome	2023-07-12		1
GCF_004803795.1	ASM480379v1	Campylobacter rectus		ATCC 33238					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-04-23		1
GCF_038500265.1	ASM3850026v1	Ignatzschineria larvae DSM 13226		DSM 13226					GCF_038500265.1-RS_2024_04_27	Complete Genome	2024-04-28		1
GCF_016725245.1	ASM1672524v1	Mammaliicoccus vitulinus		FDAARGOS_1153					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-20		2
GCF_000145215.1	ASM14521v1	Caldicellulosiruptor obsidiansis OB47		OB47					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2010-08-11		1
GCF_000237205.1	ASM23720v1	Simkania negevensis Z		Z					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2011-06-21		2
GCF_000196275.1	ASM19627v1	Deinococcus geothermalis DSM 11300		DSM 11300					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2007-10-17		3
GCF_000011565.2	ASM1156v2	Candidatus Protochlamydia amoebophila UWE25		UWE25					GCF_000011565.2-RS_2024_03_31	Complete Genome	2019-06-22		1
GCF_020162295.1	ASM2016229v1	Alysiella filiformis DSM 16848		DSM 16848					GCF_020162295.1-RS_2024_11_06	Complete Genome	2021-09-28		1
GCF_013372265.1	ASM1337226v1	Aliarcobacter cibarius		LMG 21996					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-06-24		1
GCF_001190745.1	ASM119074v1	Campylobacter gracilis		ATCC 33236					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-08-03		1
GCF_028609805.1	ASM2860980v1	Corynebacterium massiliense DSM 45435		DSM 45435					GCF_028609805.1-RS_2024_03_24	Complete Genome	2023-02-13		1
GCF_000255135.1	ASM25513v1	Marinitoga piezophila KA3		KA3					GCF_000255135.1-RS_2024_03_27	Complete Genome	2012-01-13		2
GCF_000012965.1	ASM1296v1	Sulfurimonas denitrificans DSM 1251		DSM 1251					GCF_000012965.1-RS_2024_05_27	Complete Genome	2005-11-01		1
GCF_000504085.1	ASM50408v1	Pseudothermotoga elfii DSM 9442 = NBRC 107921		NBRC 107921					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2013-10-23		1
GCF_000017865.1	ASM1786v1	Pseudothermotoga lettingae TMO		TMO					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2007-09-18		1
GCF_030440535.1	ASM3044053v1	Corynebacterium capitovis DSM 44611		DSM 44611					GCF_030440535.1-RS_2024_07_13	Complete Genome	2023-07-12		1
GCF_001543175.1	ASM154317v1	Aerococcus urinae		CCUG 36881					GCF_001543175.1-RS_2024_10_11	Complete Genome	2016-02-01		1
GCF_002104335.1	ASM210433v1	Campylobacter cuniculorum DSM 23162 = LMG 24588		LMG 24588					GCF_002104335.1-RS_2024_04_27	Complete Genome	2017-04-21		3
GCF_004214815.1	ASM421481v1	Aliarcobacter thereius LMG 24486		LMG 24486					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-02-20		1
GCF_027946175.1	ASM2794617v1	Nitratiruptor tergarcus DSM 16512		DSM 16512					GCF_027946175.1-RS_2024_05_11	Complete Genome	2022-11-15		2
GCF_000242335.1	ASM24233v3	Prevotella dentalis DSM 3688		DSM 3688					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2012-12-27		4
GCF_030440555.1	ASM3044055v1	Corynebacterium caspium DSM 44850		DSM 44850					GCF_030440555.1-RS_2024_07_13	Complete Genome	2023-07-12		1
GCF_018127785.1	ASM1812778v1	Prevotella scopos JCM 17725		W2052					GCF_018127785.1-RS_2024_05_17	Complete Genome	2021-04-22		3
GCF_900475315.1	43721_G02	Neisseria cinerea		NCTC10294					GCF_900475315.1-RS_2024_09_02	Complete Genome	2018-06-17		1
GCF_001263395.1	ASM126339v1	Bifidobacterium actinocoloniiforme DSM 22766		DSM 22766					GCF_001263395.1-RS_2024_06_16	Complete Genome	2015-08-10		1
GCF_000734015.1	ASM73401v1	Thermodesulfobacterium commune DSM 2178		DSM 2178					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-07-28		1
GCF_005843985.1	ASM584398v1	Caminibacter mediatlanticus TB-2		TB-2					GCF_005843985.1-RS_2024_04_27	Complete Genome	2019-05-26		1
GCF_000185805.1	ASM18580v1	Thermovibrio ammonificans HB-1		HB-1					GCF_000185805.1-RS_2024_05_05	Complete Genome	2011-01-07		2
GCF_013388295.1	ASM1338829v1	Bartonella alsatica		CIP 105477					GCF_013388295.1-RS_2024_05_05	Complete Genome	2020-07-04		1
GCF_900476215.1	51342_F02	Helicobacter mustelae		NCTC12198					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-06-17		1
GCF_001275365.1	ASM127536v1	Francisella persica ATCC VR-331		FSC845					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-08-27		1
GCF_000499665.2	RMONA_1	Rickettsia monacensis		IrR/Munich					GCF_000499665.2-RS_2024_04_06	Complete Genome	2015-01-22		1
GCF_000517365.1	ASM51736v1	Spiroplasma mirum ATCC 29335		ATCC 29335					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-01-09		1
GCF_002803985.1	ASM280398v1	Williamsoniiplasma luminosum		PIMN-1					GCF_002803985.1-RS_2024_03_28	Complete Genome	2017-12-04		1
GCF_900660575.1	51342_D01-3	Mycoplasmopsis pulmonis		NCTC10139					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-01-29		2
GCF_002843565.1	ASM284356v1	Mesoplasma syrphidae		YJS			ATCC 51578		GCF_002843565.1-RS_2024_05_03	Complete Genome	2017-12-17		1
GCF_000196215.1	ASM19621v1	Borreliella bavariensis PBi		PBi					GCF_000196215.1-RS_2024_09_16	Complete Genome	2004-08-30		3
GCF_002804005.1	ASM280400v1	Williamsoniiplasma somnilux		PYAN-1					GCF_002804005.1-RS_2024_03_28	Complete Genome	2017-12-04		1
GCF_002290085.1	ASM229008v1	Mesoplasma chauliocola		CHPA-2					GCF_002290085.1-RS_2024_03_28	Complete Genome	2017-09-12		1
GCF_002804105.1	ASM280410v1	Mesoplasma melaleucae		M1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-04		1
GCF_900660525.1	50861_G01-3	Mycoplasmopsis bovigenitalium		NCTC10122					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-01-29		1
GCF_002441935.1	ASM244193v1	Mesoplasma lactucae ATCC 49193		831-C4					GCF_002441935.1-RS_2024_04_15	Complete Genome	2017-10-04		1
GCF_021496725.1	ASM2149672v1	Spiroplasma platyhelix PALS-1		PALS-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-18		1
GCF_900660435.1	50465_D02-3	Metamycoplasma orale		NCTC10112					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-01-29		5
GCF_900660445.2	GCA_900660445	Metamycoplasma salivarium		NCTC10113					GCF_900660445.2-RS_2024_04_30	Complete Genome	2020-12-17		1
GCF_003269445.1	ASM326944v1	Metamycoplasma cloacale		NCTC 10199					GCF_003269445.1-RS_2024_03_28	Complete Genome	2018-06-28		1
GCF_000246855.1	ASM24685v1	Niastella koreensis GR20-10		GR20-10					GCF_000246855.1-RS_2024_04_26	Complete Genome	2011-12-14		1
GCF_000022085.1	ASM2208v1	Methylobacterium nodulans ORS 2060		ORS 2060					GCF_000022085.1-RS_2024_04_23	Complete Genome	2009-01-12		8
GCF_000015305.1	ASM1530v1	Mycolicibacterium vanbaalenii PYR-1		PYR-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2006-12-27		1
GCF_000025265.1	ASM2526v1	Conexibacter woesei DSM 14684		DSM 14684					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2010-01-15		1
GCF_000178955.2	ASM17895v2	Granulicella mallensis MP5ACTX8		MP5ACTX8					GCF_000178955.2-RS_2024_11_06	Complete Genome	2011-12-01		1
GCF_010731575.1	ASM1073157v1	Mycolicibacterium monacense		JCM 15658					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-02-06		1
GCF_000165715.2	ASM16571v3	Rubinisphaera brasiliensis DSM 5305		DSM 5305					GCF_000165715.2-RS_2024_10_11	Complete Genome	2011-03-01		1
GCF_022557255.1	ASM2255725v1	Pseudomonas syringae pv. tagetis		ICMP 4091					GCF_022557255.1-RS_2024_04_02	Complete Genome	2022-03-13		3
GCF_000270245.1	ASM27024v1	Microlunatus phosphovorus NM-1		NM-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2011-06-01		1
GCF_000015565.1	ASM1556v1	Verminephrobacter eiseniae EF01-2		EF01-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2007-01-09		2
GCF_013177315.1	ASM1317731v1	Thermoleptolyngbya sichuanensis A183		A183					GCF_013177315.1-RS_2024_10_11	Complete Genome	2020-05-27		1
GCF_000092105.1	ASM9210v1	Planctopirus limnophila DSM 3776		DSM 3776					GCF_000092105.1-RS_2024_10_11	Complete Genome	2010-05-13		2
GCF_000265425.1	ASM26542v1	Terriglobus roseus DSM 18391		DSM 18391					GCF_000265425.1-RS_2024_05_01	Complete Genome	2012-06-08		1
GCF_000019185.1	ASM1918v1	Shewanella halifaxensis HAW-EB4		HAW-EB4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2008-02-07		1
GCF_000024785.1	ASM2478v1	Gordonia bronchialis DSM 43247		DSM 43247					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2009-10-27		2
GCF_000013665.1	ASM1366v1	Saccharophagus degradans 2-40		2-40					GCF_000013665.1-RS_2024_08_06	Complete Genome	2006-03-17		1
GCF_000022145.1	ASM2214v1	Anaeromyxobacter dehalogenans 2CP-1		2CP1					GCF_000022145.1-RS_2024_05_01	Complete Genome	2009-01-12		1
GCF_001267925.1	ASM126792v1	Herbaspirillum hiltneri N3		N3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-08-17		1
GCF_000013605.1	ASM1360v1	Rhodoferax ferrireducens T118		DSM 15236					GCF_000013605.1-RS_2024_04_19	Complete Genome	2006-03-10		2
GCF_000021945.1	ASM2194v1	Chloroflexus aggregans DSM 9485		DSM 9485					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2009-01-05		1
GCF_006740045.1	ASM674004v1	Comamonas terrigena NBRC 13299		NBRC 13299					GCF_006740045.1-RS_2024_05_14	Complete Genome	2019-06-14		1
GCF_000144625.1	ASM14462v1	[Clostridium] saccharolyticum WM1		WM1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2010-08-05		1
GCF_000154785.2	ASM15478v2	Roseobacter litoralis Och 149		Och 149					GCF_000154785.2-RS_2024_05_01	Complete Genome	2011-06-28		4
GCF_000014145.1	ASM1414v1	Cytophaga hutchinsonii ATCC 33406		ATCC 33406					GCF_000014145.1-RS_2024_10_22	Complete Genome	2006-07-11		1
GCF_000219915.2	ASM21991v3	Advenella kashmirensis WT001		WT001					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2012-05-25		2
GCF_001277255.1	ASM127725v1	Cronobacter condimenti 1330		LMG 26250					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-09-01		2
GCF_000021745.1	ASM2174v1	Methylocella silvestris BL2		BL2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2008-12-15		1
GCF_000092645.1	ASM9264v1	Thermobispora bispora DSM 43833		DSM 43833					GCF_000092645.1-RS_2024_04_21	Complete Genome	2010-05-17		1
GCF_015097275.1	ASM1509727v1	Coprobacter secundus subsp. similis		2CBH44					GCF_015097275.1-RS_2024_03_28	Complete Genome	2020-09-23		1
GCF_000284515.1	ASM28451v1	Halobacillus halophilus DSM 2266		type strain: DSM 2266					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2012-04-11		3
GCF_000226565.1	ASM22656v1	Glaciecola nitratireducens FR1064		FR1064					GCF_000226565.1-RS_2024_03_27	Complete Genome	2011-09-28		1
GCF_001513745.1	ASM151374v1	Burkholderia humptydooensis		MSMB43					GCF_001513745.1-RS_2024_09_23	Complete Genome	2016-01-12		3
GCF_000247605.1	ASM24760v1	Acetobacterium woodii DSM 1030		DSM 1030					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2012-02-14		1
GCF_019669985.1	ASM1966998v1	Methylogaea oryzae		E10					GCF_019669985.1-RS_2024_05_06	Complete Genome	2021-06-02		1
GCF_000166055.1	ASM16605v1	Rhodomicrobium vannielii ATCC 17100		ATCC 17100					GCF_000166055.1-RS_2024_04_29	Complete Genome	2010-11-05		1
GCF_000341395.1	ASM34139v1	Desulfocapsa sulfexigens DSM 10523		DSM 10523					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2013-02-20		2
GCF_003568825.1	ASM356882v1	Pseudoalteromonas tunicata		D2					GCF_003568825.1-RS_2024_03_28	Complete Genome	2018-09-04		2
GCF_000332115.1	ASM33211v1	Nonlabens dokdonensis DSW-6		DSW-6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2013-01-18		1
GCF_000224085.1	ASM22408v1	Allomuricauda ruestringensis DSM 13258		DSM 13258					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2011-08-19		1
GCF_000306675.2	ASM30667v3	Leptospira mayottensis 200901116		200901116					GCF_000306675.2-RS_2024_03_28	Complete Genome	2018-12-21		3
GCF_000284115.1	ASM28411v1	Phycisphaera mikurensis NBRC 102666		NBRC 102666					GCF_000284115.1-RS_2024_10_11	Complete Genome	2012-03-28		2
GCF_000022305.1	ASM2230v1	[Acidovorax] ebreus TPSY		TPSY					GCF_000022305.1-RS_2024_06_22	Complete Genome	2009-01-27		1
GCF_024347275.1	ASM2434727v1	Amphritea japonica		JCM 14782					GCF_024347275.1-RS_2024_09_29	Complete Genome	2022-07-05		2
GCF_000024965.1	ASM2496v1	Xylanimonas cellulosilytica DSM 15894		DSM 15894					GCF_000024965.1-RS_2024_05_01	Complete Genome	2009-11-20		2
GCF_002221525.1	ASM222152v1	Pseudoalteromonas espejiana DSM 9414		DSM 9414					GCF_002221525.1-RS_2024_05_03	Complete Genome	2017-07-19		2
GCF_000012885.1	ASM1288v1	Syntrophotalea carbinolica DSM 2380		DSM 2380					GCF_000012885.1-RS_2024_05_01	Complete Genome	2006-03-30		1
GCF_003030465.1	ASM303046v1	Thauera aromatica K172		K172					GCF_003030465.1-RS_2024_05_03	Complete Genome	2018-04-02		2
GCF_000011245.1	ASM1124v1	Oceanobacillus iheyensis HTE831		HTE831					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2004-02-19		1
GCF_000009905.1	ASM990v1	Symbiobacterium thermophilum IAM 14863		IAM14863					GCF_000009905.1-RS_2024_03_28	Complete Genome	2004-09-02		1
GCF_000145035.1	ASM14503v1	Butyrivibrio proteoclasticus B316		B316					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2010-08-10		4
GCF_006542645.1	Aond_1.0	Alistipes onderdonkii subsp. vulgaris		3BBH6					GCF_006542645.1-RS_2024_03_28	Complete Genome	2019-06-12		1
GCF_000023065.1	ASM2306v1	Tolumonas auensis DSM 9187		DSM 9187					GCF_000023065.1-RS_2024_05_01	Complete Genome	2009-05-13		1
GCF_000021985.1	ASM2198v1	Thioalkalivibrio sulfidiphilus HL-EbGr7		HL-EbGR7					GCF_000021985.1-RS_2024_05_01	Complete Genome	2009-01-13		1
GCF_018324105.1	ASM1832410v1	Acinetobacter bouvetii		JCM 18991					GCF_018324105.1-RS_2024_03_28	Complete Genome	2021-04-22		1
GCF_000013985.1	ASM1398v1	Sphingopyxis alaskensis RB2256		RB2256					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2006-05-18		2
GCF_025151385.1	ASM2515138v1	Hoylesella buccalis ATCC 35310		ATCC 35310					GCF_025151385.1-RS_2024_09_13	Complete Genome	2022-09-12		1
GCF_000014785.1	ASM1478v1	Alkalilimnicola ehrlichii MLHE-1		MLHE-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2006-09-12		1
GCF_000092425.1	ASM9242v1	Truepera radiovictrix DSM 17093		DSM 17093					GCF_000092425.1-RS_2024_05_01	Complete Genome	2010-05-28		1
GCF_000092845.1	ASM9284v1	Brachyspira murdochii DSM 12563		DSM 12563					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2010-05-13		1
GCF_000013405.1	ASM1340v1	Syntrophus aciditrophicus SB		SB					GCF_000013405.1-RS_2024_07_03	Complete Genome	2006-01-26		1
GCF_000252445.1	ASM25244v1	Deinococcus gobiensis I-0		I-0					GCF_000252445.1-RS_2024_03_28	Complete Genome	2012-03-12		7
GCF_000550785.1	ASM55078v1	Corynebacterium casei LMG S-19264		LMG S-19264					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-02-05		3
GCF_025149915.1	ASM2514991v1	Coprococcus eutactus		ATCC 27759					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-12		1
GCF_000013905.1	ASM1390v1	Psychrobacter cryohalolentis K5		K5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2006-04-18		2
GCF_000025705.1	ASM2570v1	Sideroxydans lithotrophicus ES-1		ES-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2010-03-26		1
GCF_000013705.1	ASM1370v1	Methylobacillus flagellatus KT		KT					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2006-04-10		1
GCF_030408815.1	ASM3040881v1	Corynebacterium freiburgense		DSM 45254					GCF_030408815.1-RS_2024_07_07	Complete Genome	2023-07-05		2
GCF_000550805.1	ASM55080v1	Corynebacterium vitaeruminis DSM 20294		DSM 20294					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-02-05		1
GCF_000177635.2	ASM17763v2	Desulfurispirillum indicum S5		S5					GCF_000177635.2-RS_2024_05_05	Complete Genome	2011-01-04		1
GCF_000214435.1	ASM21443v1	Desulfotomaculum nigrificans CO-1-SRB		CO-1-SRB					GCF_000214435.1-RS_2024_05_13	Complete Genome	2011-05-23		1
GCF_000020685.1	ASM2068v1	Deinococcus deserti VCD115		VCD115					GCF_000020685.1-RS_2024_03_28	Complete Genome	2009-04-02		4
GCF_000166695.1	ASM16669v1	Caldicellulosiruptor acetigenus I77R1B		177R1B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2010-11-17		2
GCF_000020465.1	ASM2046v1	Chlorobium limicola DSM 245		DSM 245					GCF_000020465.1-RS_2024_11_06	Complete Genome	2008-06-04		1
GCF_025152405.1	ASM2515240v1	[Ruminococcus] lactaris ATCC 29176		ATCC 29176					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-12		1
GCF_000226295.1	ASM22629v1	Chloracidobacterium thermophilum B		B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2011-09-23		2
GCF_000015585.1	ASM1558v1	Halorhodospira halophila SL1		SL1					GCF_000015585.1-RS_2024_04_26	Complete Genome	2007-01-10		1
GCF_000177535.2	ASM17753v2	Corynebacterium resistens DSM 45100		DSM 45100					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2011-06-15		1
GCF_000175215.2	ASM17521v2	Asticcacaulis excentricus CB 48		CS 48					GCF_000175215.2-RS_2024_05_01	Complete Genome	2010-12-22		4
GCF_000024765.1	ASM2476v1	Halothiobacillus neapolitanus c2		c2					GCF_000024765.1-RS_2024_03_12	Complete Genome	2009-10-21		1
GCF_000184345.1	ASM18434v2	Spirochaeta thermophila DSM 6578		DSM 6578					GCF_000184345.1-RS_2024_05_01	Complete Genome	2011-07-06		1
GCF_007990525.1	ASM799052v1	Leptotrichia hofstadii		JCM16775					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-07-25		4
GCF_000023705.1	ASM2370v1	Methylotenera mobilis JLW8		JLW8					GCF_000023705.1-RS_2024_03_27	Complete Genome	2009-07-15		1
GCF_000189775.2	ASM18977v3	Thermoanaerobacterium xylanolyticum LX-11		LX-11					GCF_000189775.2-RS_2024_06_10	Complete Genome	2011-05-17		1
GCF_025148445.1	ASM2514844v1	Eshraghiella crossota		DSM 2876					GCF_025148445.1-RS_2024_09_08	Complete Genome	2022-09-12		1
GCF_016728665.1	ASM1672866v1	Corynebacterium propinquum		FDAARGOS_1112					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-20		1
GCF_900636745.1	44087_C02	Actinobacillus equuli		NCTC8529					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-20		1
GCF_000012865.1	ASM1286v1	Carboxydothermus hydrogenoformans Z-2901		Z-2901					GCF_000012865.1-RS_2024_03_28	Complete Genome	2005-10-21		1
GCF_000012485.1	ASM1248v1	Pelodictyon luteolum DSM 273		DSM 273					GCF_000012485.1-RS_2024_03_28	Complete Genome	2005-10-26		1
GCF_000493735.1	ASM49373v1	Carnobacterium inhibens subsp. gilichinskyi		WN1359					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2013-10-29		6
GCF_002849895.1	ASM284989v1	Companilactobacillus alimentarius DSM 20249		DSM 20249					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-03		2
GCF_000092965.1	ASM9296v1	Thermoanaerobacter mathranii subsp. mathranii str. A3		A3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2010-05-26		1
GCF_007990505.1	ASM799050v1	Pseudoleptotrichia goodfellowii		JCM16774					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-07-25		1
GCF_000829395.1	ASM82939v1	Paucilactobacillus hokkaidonensis JCM 18461		LOOC260					GCF_000829395.1-RS_2024_03_28	Complete Genome	2014-11-11		3
GCF_900187035.1	50279_G02	Megamonas hypermegale		NCTC10570					GCF_900187035.1-RS_2024_04_08	Complete Genome	2017-08-15		1
GCF_000212375.1	ASM21237v1	Porphyromonas asaccharolytica DSM 20707		DSM 20707					GCF_000212375.1-RS_2024_05_01	Complete Genome	2011-05-05		1
GCF_900476055.1	53750_F01	Streptococcus australis		NCTC13166					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-06-17		1
GCF_000196535.1	ASM19653v1	Mobiluncus curtisii ATCC 43063		ATCC 43063					GCF_000196535.1-RS_2024_03_28	Complete Genome	2010-06-14		1
GCF_900636885.1	44927_H01	Streptococcus urinalis		NCTC13766					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-20		1
GCF_000022745.1	ASM2274v1	Brucella microti CCM 4915		CCM 4915					GCF_000022745.1-RS_2024_08_07	Complete Genome	2009-08-18		2
GCF_014054725.1	ASM1405472v1	Conchiformibius steedae		DSM 2580					GCF_014054725.1-RS_2024_03_28	Complete Genome	2020-08-04		3
GCF_000590555.1	ASM59055v1	Corynebacterium argentoratense DSM 44202		DSM 44202					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2013-08-27		1
GCF_900476035.1	53694_C01	Aggregatibacter segnis ATCC 33393		NCTC 10977					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-06-17		1
GCF_000092505.1	ASM9250v1	Leuconostoc kimchii IMSNU 11154		IMSNU 11154					GCF_000092505.1-RS_2024_04_10	Complete Genome	2010-05-06		6
GCF_000020965.1	ASM2096v1	Dictyoglomus thermophilum H-6-12		H-6-12; ATCC 35947					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2008-09-26		1
GCF_000024105.1	ASM2410v1	Anaerococcus prevotii DSM 20548		DSM 20548					GCF_000024105.1-RS_2024_03_28	Complete Genome	2009-08-28		2
GCF_000259275.1	ASM25927v1	Helicobacter cetorum MIT 99-5656		MIT 99-5656					GCF_000259275.1-RS_2024_03_28	Complete Genome	2012-04-19		2
GCF_000016785.1	ASM1678v1	Thermotoga petrophila RKU-1		RKU-1					GCF_000016785.1-RS_2024_03_27	Complete Genome	2007-05-18		1
