Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_CP097562.1	488835	489647		plus	4Fe-4S dicluster domain-containing protein		0	protein-coding		WP_023276483.1	270	N508_RS02365
NZ_CP097562.1	489640	490329		plus	cytochrome b/b6 domain-containing protein		0	protein-coding		WP_023276484.1	229	N508_RS02370
NZ_CP097562.1	490329	490718		plus	ubiquinol-cytochrome c reductase iron-sulfur subunit		0	protein-coding		WP_023276485.1	129	N508_RS02375
NZ_CP097562.1	490721	491338		plus	cytochrome b N-terminal domain-containing protein		0	protein-coding		WP_023276486.1	205	N508_RS02380
NZ_CP097562.1	491733	492494		plus	selenite/tellurite reduction operon c-type cytochrome lipoprotein ExtS	extS	0	protein-coding		WP_023276487.1	253	N508_RS02385
NZ_CP097562.1	492585	493523		plus	ABC transporter ATP-binding protein		0	protein-coding		WP_023276488.1	312	N508_RS02390
NZ_CP097562.1	493542	493961		plus	ClpXP protease specificity-enhancing factor SspB		0	protein-coding		WP_023276489.1	139	N508_RS02395
NZ_CP097562.1	493964	494755		minus	menaquinone biosynthesis protein		0	protein-coding		WP_023276490.1	263	N508_RS02400
NZ_CP097562.1	494926	495651		plus	molecular chaperone TorD family protein		0	protein-coding		WP_023276491.1	241	N508_RS02405
NZ_CP097562.1	495635	496222		minus	class II aldolase/adducin family protein		0	protein-coding		WP_023276492.1	195	N508_RS02410
NZ_CP097562.1	496225	497286		minus	S-methyl-5-thioribose-1-phosphate isomerase	mtnA	0	protein-coding		WP_023276493.1	353	N508_RS02415
NZ_CP097562.1	497423	498397		plus	TAXI family TRAP transporter solute-binding subunit		0	protein-coding		WP_023276494.1	324	N508_RS02420
NZ_CP097562.1	498394	499014		minus	molecular chaperone TorD family protein		0	protein-coding		WP_023276495.1	206	N508_RS02425
NZ_CP097562.1	499212	500003		plus	amino acid ABC transporter substrate-binding protein		0	protein-coding		WP_023276496.1	263	N508_RS02430
NZ_CP097562.1	500034	500705		plus	amino acid ABC transporter permease		0	protein-coding		WP_023276497.1	223	N508_RS02435
NZ_CP097562.1	500702	501445		plus	amino acid ABC transporter ATP-binding protein		0	protein-coding		WP_023276498.1	247	N508_RS02440
NZ_CP097562.1	501448	501927		plus	Cys-tRNA(Pro) deacylase	ybaK	0	protein-coding		WP_023276499.1	159	N508_RS02445
NZ_CP097562.1	502746	504677		plus	flavocytochrome c		0	protein-coding		WP_023276500.1	643	N508_RS02450
NZ_CP097562.1	504793	505665		plus	DMT family transporter		0	protein-coding		WP_023276501.1	290	N508_RS02455
NZ_CP097562.1	505667	506464		minus	ZIP family metal transporter		0	protein-coding		WP_023276502.1	265	N508_RS02460
NZ_CP097562.1	506473	507426		minus	putative sulfate exporter family transporter		0	protein-coding		WP_023276503.1	317	N508_RS02465
NZ_CP097562.1	507429	510659		minus	carbamoyl-phosphate synthase large subunit	carB	0	protein-coding		WP_023276504.1	1076	N508_RS02470
NZ_CP097562.1	511072	511983		plus	IS30 family transposase		0	protein-coding		WP_283805218.1	303	N508_RS02475
NZ_CP097562.1	512072	512144		plus	tRNA-Phe		0	tRNA				N508_RS02480
NZ_CP097562.1	512332	514008		plus	sigma factor-like helix-turn-helix DNA-binding protein		0	protein-coding		WP_023276505.1	558	N508_RS02485
NZ_CP097562.1	515098	515859		minus	hypothetical protein		0	protein-coding		WP_023276506.1	253	N508_RS02490
NZ_CP097562.1	515920	516459		minus	hypothetical protein		0	protein-coding		WP_023275938.1	179	N508_RS02495
NZ_CP097562.1	516736	517077		plus	hypothetical protein		0	protein-coding		WP_023275939.1	113	N508_RS02500
NZ_CP097562.1	517636	518532		plus	site-specific integrase		0	protein-coding		WP_023276507.1	298	N508_RS02505
NZ_CP097562.1	518993	519283		plus	hypothetical protein		0	protein-coding		WP_023276508.1	96	N508_RS02510
NZ_CP097562.1	519728	520534		minus	type IVB secretion system protein IcmH/DotU	icmH	0	protein-coding		WP_023276509.1	268	N508_RS02515
NZ_CP097562.1	520536	521924		minus	type VI secretion system baseplate subunit TssK	tssK	0	protein-coding		WP_023276510.1	462	N508_RS02520
NZ_CP097562.1	521914	522387		minus	type VI secretion system lipoprotein TssJ	tssJ	0	protein-coding		WP_023276511.1	157	N508_RS02525
NZ_CP097562.1	522389	523300		minus	hypothetical protein		0	protein-coding		WP_023276512.1	303	N508_RS02530
NZ_CP097562.1	523310	526900		minus	type VI secretion system membrane subunit TssM	tssM	0	protein-coding		WP_023276513.1	1196	N508_RS02535
NZ_CP097562.1	526914	528215		minus	type VI secretion system domain-containing protein		0	protein-coding		WP_023276514.1	433	N508_RS02540
NZ_CP097562.1	528350	528844		plus	type VI secretion system contractile sheath small subunit	tssB	0	protein-coding		WP_023276515.1	164	N508_RS02545
NZ_CP097562.1	528856	530319		plus	type VI secretion system contractile sheath large subunit	tssC	0	protein-coding		WP_023276516.1	487	N508_RS02550
NZ_CP097562.1	530374	530766		plus	GPW/gp25 family protein		0	protein-coding		WP_023276517.1	130	N508_RS02555
NZ_CP097562.1	530766	532505		plus	type VI secretion system baseplate subunit TssF	tssF	0	protein-coding		WP_023276518.1	579	N508_RS02560
NZ_CP097562.1	532502	533425		plus	type VI secretion system baseplate subunit TssG	tssG	0	protein-coding		WP_023276519.1	307	N508_RS02565
NZ_CP097562.1	533472	533663		minus	hypothetical protein		0	protein-coding		WP_023276520.1	63	N508_RS02570
NZ_CP097562.1	533776	534222		minus	hypothetical protein		0	protein-coding		WP_023276521.1	148	N508_RS02575
NZ_CP097562.1	534564	534737		minus	hypothetical protein		0	protein-coding		WP_023276523.1	57	N508_RS02580
NZ_CP097562.1	534842	535318		minus	hypothetical protein		0	protein-coding		WP_023276524.1	158	N508_RS02585
NZ_CP097562.1	535547	536779		minus	polymorphic toxin type 44 domain-containing protein		0	protein-coding		WP_251930646.1	410	N508_RS02590
NZ_CP097562.1	536805	537797		minus	hypothetical protein		0	protein-coding		WP_023276528.1	330	N508_RS02595
NZ_CP097562.1	537812	539290		minus	hypothetical protein		0	protein-coding		WP_023276529.1	492	N508_RS02600
NZ_CP097562.1	539391	539882		minus	hypothetical protein		0	protein-coding		WP_023276530.1	163	N508_RS02605
NZ_CP097562.1	540103	540531		minus	polymorphic toxin type 44 domain-containing protein		0	protein-coding		WP_023276532.1	142	N508_RS02610
NZ_CP097562.1	540655	541068		minus	hypothetical protein		0	protein-coding		WP_040637120.1	137	N508_RS02615
NZ_CP097562.1	541136	541360		minus	hypothetical protein		0	protein-coding		WP_143815544.1	74	N508_RS02620
NZ_CP097562.1	541375	542565		minus	polymorphic toxin type 44 domain-containing protein		0	protein-coding		WP_251930648.1	396	N508_RS02625
NZ_CP097562.1	542889	543800		plus	IS30 family transposase		0	protein-coding		WP_283805218.1	303	N508_RS02630
NZ_CP097562.1	543873	544679		plus	ATP-binding protein		0	protein-coding		WP_023276536.1	268	N508_RS02635
NZ_CP097562.1	544750	545208		minus	GNAT family N-acetyltransferase		0	protein-coding		WP_023276537.1	152	N508_RS02640
NZ_CP097562.1	545508	546377		plus	alpha/beta fold hydrolase		0	protein-coding		WP_023276538.1	289	N508_RS02645
NZ_CP097562.1	546713	547672		plus	hypothetical protein		0	protein-coding		WP_023276539.1	319	N508_RS02650
NZ_CP097562.1	547688	548743		plus	hypothetical protein		0	protein-coding		WP_023276540.1	351	N508_RS02655
NZ_CP097562.1	550276	550393		minus	5S ribosomal RNA	rrf	0	rRNA				N508_RS02660
NZ_CP097562.1	550482	553392		minus	23S ribosomal RNA		0	rRNA				N508_RS02665
NZ_CP097562.1	553517	553589		minus	tRNA-Ala		0	tRNA				N508_RS02670
NZ_CP097562.1	553716	553789		minus	tRNA-Ile		0	tRNA				N508_RS02675
NZ_CP097562.1	553934	555482		minus	16S ribosomal RNA		0	rRNA				N508_RS02680
NZ_CP097562.1	555896	558685		plus	isoleucine--tRNA ligase	ileS	0	protein-coding		WP_023274855.1	929	N508_RS02685
NZ_CP097562.1	558686	559210		plus	signal peptidase II	lspA	0	protein-coding		WP_023274856.1	174	N508_RS02690
NZ_CP097562.1	559212	561713		plus	BspA family leucine-rich repeat surface protein		0	protein-coding		WP_076653963.1	833	N508_RS02695
NZ_CP097562.1	562100	563662		plus	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	purH	0	protein-coding		WP_023274858.1	520	N508_RS02700
NZ_CP097562.1	563681	564958		plus	phosphoribosylamine--glycine ligase	purD	0	protein-coding		WP_023274859.1	425	N508_RS02705
NZ_CP097562.1	564965	565465		plus	5-(carboxyamino)imidazole ribonucleotide mutase	purE	0	protein-coding		WP_347342709.1	166	N508_RS02710
NZ_CP097562.1	565465	566037		plus	Sua5/YciO/YrdC/YwlC family protein		0	protein-coding		WP_023274861.1	190	N508_RS02715
NZ_CP097562.1	566214	567152		plus	DDE-type integrase/transposase/recombinase		0	protein-coding		WP_023274862.1	312	N508_RS02720
NZ_CP097562.1	567303	567665		plus	cytochrome c3 family protein		0	protein-coding		WP_023274863.1	120	N508_RS02725
NZ_CP097562.1	568326	569264		plus	DDE-type integrase/transposase/recombinase		0	protein-coding		WP_023274864.1	312	N508_RS02730
NZ_CP097562.1	569408	570919		plus	sodium/proline symporter PutP	putP	0	protein-coding		WP_023274865.1	503	N508_RS02735
NZ_CP097562.1	571465	572697		minus	pitrilysin family protein		0	protein-coding		WP_023274866.1	410	N508_RS02740
NZ_CP097562.1	572796	573272		minus	chemotaxis protein CheX		0	protein-coding		WP_023274867.1	158	N508_RS02745
NZ_CP097562.1	573372	575996		minus	alanine--tRNA ligase	alaS	0	protein-coding		WP_040636557.1	874	N508_RS02750
NZ_CP097562.1	576413	576787		plus	helix-turn-helix transcriptional regulator		0	protein-coding		WP_023274869.1	124	N508_RS02755
NZ_CP097562.1	576841	578445		minus	phosphoenolpyruvate carboxykinase (ATP)	pckA	0	protein-coding		WP_023274870.1	534	N508_RS02760
NZ_CP097562.1	578670	579554		minus	AraC family transcriptional regulator		0	protein-coding		WP_023274871.1	294	N508_RS02765
NZ_CP097562.1	579714	580661		plus	DUF362 domain-containing protein		0	protein-coding		WP_023274872.1	315	N508_RS02770
NZ_CP097562.1	580737	582122		minus	anaerobic C4-dicarboxylate transporter		0	protein-coding		WP_023274873.1	461	N508_RS02775
NZ_CP097562.1	582543	582965		plus	Hsp20/alpha crystallin family protein		0	protein-coding		WP_023274874.1	140	N508_RS02780
NZ_CP097562.1	583047	584075		minus	hypothetical protein		0	protein-coding		WP_023274875.1	342	N508_RS02785
NZ_CP097562.1	584265	585527		plus	response regulator		0	protein-coding		WP_251930649.1	420	N508_RS02790
NZ_CP097562.1	585953	586243		minus	hypothetical protein		0	protein-coding		WP_023274877.1	96	N508_RS02795
NZ_CP097562.1	586304	586723		minus	C-GCAxxG-C-C family protein		0	protein-coding		WP_023274878.1	139	N508_RS02800
NZ_CP097562.1	586840	588279		minus	alanine/glycine:cation symporter family protein		0	protein-coding		WP_023274879.1	479	N508_RS02805
NZ_CP097562.1	588370	589734		minus	flippase		0	protein-coding		WP_347342705.1	454	N508_RS02810
NZ_CP097562.1	589830	590963		plus	DegT/DnrJ/EryC1/StrS family aminotransferase		0	protein-coding		WP_023274881.1	377	N508_RS02815
NZ_CP097562.1	591493	592953		plus	glycogen synthase GlgA	glgA	0	protein-coding		WP_023274882.1	486	N508_RS02820
NZ_CP097562.1	593021	595399		plus	hypothetical protein		0	protein-coding		WP_023274883.1	792	N508_RS02825
NZ_CP097562.1	595627	596187		plus	hypothetical protein		0	protein-coding		WP_023274884.1	186	N508_RS02830
NZ_CP097562.1	596736	598526		minus	WD40 repeat domain-containing protein		0	protein-coding		WP_023274885.1	596	N508_RS02835
NZ_CP097562.1	598471	599019		minus	YqiA/YcfP family alpha/beta fold hydrolase		0	protein-coding		WP_023274886.1	182	N508_RS02840
NZ_CP097562.1	599030	600259		minus	M20 family metallo-hydrolase		0	protein-coding		WP_023274887.1	409	N508_RS02845
NZ_CP097562.1	600256	600945		minus	nickel pincer cofactor biosynthesis protein LarB	larB	0	protein-coding		WP_023274888.1	229	N508_RS02850
NZ_CP097562.1	601107	602042		minus	IS30 family transposase		0	protein-coding		WP_143815543.1	311	N508_RS02855
NZ_CP097562.1	602361	603419		plus	tRNA 2-thiouridine(34) synthase MnmA	mnmA	0	protein-coding		WP_023274892.1	352	N508_RS02860
NZ_CP097562.1	603444	603935		plus	YajQ family cyclic di-GMP-binding protein		0	protein-coding		WP_023274893.1	163	N508_RS02865
NZ_CP097562.1	603947	604735		plus	EFR1 family ferrodoxin		0	protein-coding		WP_023274894.1	262	N508_RS02870
NZ_CP097562.1	604716	605297		plus	hypothetical protein		0	protein-coding		WP_023274895.1	193	N508_RS02875
NZ_CP097562.1	605664	606782		minus	lipid-A-disaccharide synthase	lpxB	0	protein-coding		WP_023274896.1	372	N508_RS02880
NZ_CP097562.1	606801	607781		minus	hypothetical protein		0	protein-coding		WP_040636491.1	326	N508_RS02885
NZ_CP097562.1	607786	608814		minus	pilus assembly protein PilM	pilM	0	protein-coding		WP_023274898.1	342	N508_RS02890
NZ_CP097562.1	608842	609162		minus	phosphoribosyl-AMP cyclohydrolase	hisI	0	protein-coding		WP_023274899.1	106	N508_RS02895
NZ_CP097562.1	609179	610171		minus	hydrogenase expression/formation protein HypE	hypE	0	protein-coding		WP_023274900.1	330	N508_RS02900
NZ_CP097562.1	610179	611264		minus	hydrogenase formation protein HypD	hypD	0	protein-coding		WP_023274901.1	361	N508_RS02905
NZ_CP097562.1	611242	611475		minus	HypC/HybG/HupF family hydrogenase formation chaperone		0	protein-coding		WP_023274902.1	77	N508_RS02910
NZ_CP097562.1	611850	612788		minus	DDE-type integrase/transposase/recombinase		0	protein-coding		WP_023274864.1	312	N508_RS02915
NZ_CP097562.1	612881	613348		minus	rhomboid family intramembrane serine protease		0	protein-coding		WP_023274903.1	155	N508_RS02920
NZ_CP097562.1	613489	613905		minus	hypothetical protein		0	protein-coding		WP_023274904.1	138	N508_RS02925
NZ_CP097562.1	613982	614623		minus	hypothetical protein		0	protein-coding		WP_023274905.1	213	N508_RS02930
NZ_CP097562.1	614827	615123		minus	hypothetical protein		0	protein-coding		WP_023274906.1	98	N508_RS02935
NZ_CP097562.1	615431	616276		minus	IS3 family transposase		0	protein-coding		WP_023274907.1	281	N508_RS02940
NZ_CP097562.1	616304	616693		minus	transposase		0	protein-coding		WP_023274908.1	129	N508_RS02945
NZ_CP097562.1	617001	617072		minus	tRNA-Pro		0	tRNA				N508_RS02950
NZ_CP097562.1	617392	617649		minus	hypothetical protein		0	protein-coding		WP_023274909.1	85	N508_RS02955
NZ_CP097562.1	617667	618335		minus	hypothetical protein		0	protein-coding		WP_023274910.1	222	N508_RS02960
NZ_CP097562.1	618325	618795		minus	hypothetical protein		0	protein-coding		WP_023274911.1	156	N508_RS02965
NZ_CP097562.1	618943	619848		minus	hypothetical protein		0	protein-coding		WP_023274912.1	301	N508_RS02970
NZ_CP097562.1	619970	620452		minus	hypothetical protein		0	protein-coding		WP_023274913.1	160	N508_RS02975
NZ_CP097562.1	620710	624408		minus	polymorphic toxin type 44 domain-containing protein		0	protein-coding		WP_251930651.1	1232	N508_RS02980
NZ_CP097562.1	624745	625269		minus	hypothetical protein		0	protein-coding		WP_076653995.1	174	N508_RS02985
NZ_CP097562.1	625466	627295		minus	polymorphic toxin type 44 domain-containing protein		0	protein-coding		WP_251930652.1	609	N508_RS02990
NZ_CP097562.1	627372	627899		minus	hypothetical protein		0	protein-coding		WP_076654001.1	175	N508_RS02995
NZ_CP097562.1	628096	630477		minus	polymorphic toxin type 44 domain-containing protein		0	protein-coding		WP_251930654.1	793	N508_RS03000
NZ_CP097562.1	630595	631707		minus	hypothetical protein		0	protein-coding		WP_023274919.1	370	N508_RS03005
NZ_CP097562.1	631707	633101		minus	hypothetical protein		0	protein-coding		WP_023274920.1	464	N508_RS03010
NZ_CP097562.1	633215	634156		minus	hypothetical protein		0	protein-coding		WP_023274921.1	313	N508_RS03015
NZ_CP097562.1	634172	634576		minus	M23 family metallopeptidase		0	protein-coding		WP_023274922.1	134	N508_RS03020
NZ_CP097562.1	634668	635369		minus	hypothetical protein		0	protein-coding		WP_023274923.1	233	N508_RS03025
NZ_CP097562.1	635448	636710		minus	IS3 family transposase		0	protein-coding		WP_251930656.1	420	N508_RS03030
NZ_CP097562.1	636818	637864		minus	c-type cytochrome biogenesis protein CcsB	ccsB	0	protein-coding		WP_023274926.1	348	N508_RS03035
NZ_CP097562.1	637880	639235		minus	cytochrome c biogenesis protein ResB		0	protein-coding		WP_023274927.1	451	N508_RS03040
NZ_CP097562.1	639395	641254		minus	ammonia-forming cytochrome c nitrite reductase subunit c552		0	protein-coding		WP_023274928.1	619	N508_RS03045
NZ_CP097562.1	641447	641854		plus	cytochrome c3 family protein		0	protein-coding		WP_023274929.1	135	N508_RS03050
NZ_CP097562.1	641869	644334		plus	nitrate reductase		0	protein-coding		WP_023274930.1	821	N508_RS03055
NZ_CP097562.1	644411	644722		plus	chaperone NapD		0	protein-coding		WP_023274931.1	103	N508_RS03060
NZ_CP097562.1	644719	645342		plus	4Fe-4S dicluster domain-containing protein		0	protein-coding		WP_023274932.1	207	N508_RS03065
NZ_CP097562.1	645344	646138		plus	4Fe-4S binding protein		0	protein-coding		WP_023274933.1	264	N508_RS03070
NZ_CP097562.1	646186	647721		plus	ATP-binding protein		0	protein-coding		WP_051350755.1	511	N508_RS03075
NZ_CP097562.1	647724	648908		minus	O-antigen ligase family protein		0	protein-coding		WP_023274935.1	394	N508_RS03080
NZ_CP097562.1	649104	650042		minus	DDE-type integrase/transposase/recombinase		0	protein-coding		WP_023274862.1	312	N508_RS03085
NZ_CP097562.1	650986	651150		minus	uncharacterized gene		0	pseudogene				N508_RS10960
NZ_CP097562.1	651304	651391		minus	tRNA-Ser		0	tRNA				N508_RS03090
NZ_CP097562.1	651490	651942		minus	type II secretion system protein GspG		0	protein-coding		WP_023274936.1	150	N508_RS03095
NZ_CP097562.1	651971	652732		minus	alpha/beta hydrolase		0	protein-coding		WP_023274937.1	253	N508_RS03100
NZ_CP097562.1	652756	654081		minus	2-dehydropantoate 2-reductase		0	protein-coding		WP_023274938.1	441	N508_RS03105
NZ_CP097562.1	654062	656467		minus	ATP-dependent Clp protease ATP-binding subunit		0	protein-coding		WP_023274939.1	801	N508_RS03110
NZ_CP097562.1	656917	657231		minus	LicD family protein		0	protein-coding		WP_143815604.1	104	N508_RS03115
NZ_CP097562.1	657379	657906		plus	ACT domain-containing protein		0	protein-coding		WP_023274941.1	175	N508_RS03120
NZ_CP097562.1	657909	658409		plus	peptide deformylase	def	0	protein-coding		WP_023274942.1	166	N508_RS03125
NZ_CP097562.1	658418	659386		plus	D-glycerate dehydrogenase		0	protein-coding		WP_023274943.1	322	N508_RS03130
NZ_CP097562.1	659709	659963		minus	hypothetical protein		0	protein-coding		WP_023274944.1	84	N508_RS03135
NZ_CP097562.1	659976	660764		minus	3-deoxy-8-phosphooctulonate synthase	kdsA	0	protein-coding		WP_023274945.1	262	N508_RS03140
NZ_CP097562.1	660773	662821		minus	carboxypeptidase-like regulatory domain-containing protein		0	protein-coding		WP_023274946.1	682	N508_RS03145
NZ_CP097562.1	662927	663685		plus	imidazole glycerol phosphate synthase subunit HisF	hisF	0	protein-coding		WP_023274947.1	252	N508_RS03150
NZ_CP097562.1	663696	663992		plus	phosphoribosyl-ATP diphosphatase	hisE	0	protein-coding		WP_023274948.1	98	N508_RS03155
NZ_CP097562.1	663992	665377		plus	argininosuccinate lyase	argH	0	protein-coding		WP_023274949.1	461	N508_RS03160
NZ_CP097562.1	665364	666251		plus	hypothetical protein		0	protein-coding		WP_023274950.1	295	N508_RS03165
NZ_CP097562.1	666820	667881		minus	PKD domain-containing protein		0	protein-coding		WP_143815607.1	353	N508_RS03170
NZ_CP097562.1	667947	669068		minus	PKD domain-containing protein		0	protein-coding		WP_179077841.1	373	N508_RS03175
NZ_CP097562.1	669349	670122		minus	GTP cyclohydrolase FolE2	folE2	0	protein-coding		WP_023274954.1	257	N508_RS03180
NZ_CP097562.1	670132	670851		minus	hypothetical protein		0	protein-coding		WP_023274955.1	239	N508_RS03185
NZ_CP097562.1	670867	671124		minus	YHS domain-containing protein		0	protein-coding		WP_023274956.1	85	N508_RS03190
NZ_CP097562.1	671124	671816		minus	RNA-binding cell elongation regulator Jag/EloR	jag	0	protein-coding		WP_023274957.1	230	N508_RS03195
NZ_CP097562.1	671850	673382		minus	membrane protein insertase YidC	yidC	0	protein-coding		WP_023274958.1	510	N508_RS03200
NZ_CP097562.1	673414	673605		minus	membrane protein insertion efficiency factor YidD	yidD	0	protein-coding		WP_040636497.1	63	N508_RS03205
NZ_CP097562.1	673595	673933		minus	ribonuclease P protein component	rnpA	0	protein-coding		WP_076654225.1	112	N508_RS03210
NZ_CP097562.1	673956	674096		minus	50S ribosomal protein L34	rpmH	0	protein-coding		WP_023274960.1	46	N508_RS03215
NZ_CP097562.1	674241	675881		minus	hypothetical protein		0	protein-coding		WP_023274961.1	546	N508_RS03220
NZ_CP097562.1	676372	677136		minus	enoyl-ACP reductase		0	protein-coding		WP_023274962.1	254	N508_RS03225
NZ_CP097562.1	677231	680242		minus	type I restriction endonuclease subunit R		0	protein-coding		WP_023274963.1	1003	N508_RS03230
NZ_CP097562.1	680364	680930		minus	uncharacterized gene		0	pseudogene				N508_RS03235
NZ_CP097562.1	680942	681562		minus	restriction endonuclease subunit S		0	protein-coding		WP_251930658.1	206	N508_RS03240
NZ_CP097562.1	681566	682585		minus	virulence RhuM family protein		0	protein-coding		WP_023274965.1	339	N508_RS03245
NZ_CP097562.1	682733	682858		minus	hypothetical protein		0	protein-coding		WP_023274966.1	41	N508_RS10910
NZ_CP097562.1	682859	684424		minus	type I restriction-modification system subunit M		0	protein-coding		WP_023274967.1	521	N508_RS03250
NZ_CP097562.1	684439	685782		minus	DNA repair protein RadA	radA	0	protein-coding		WP_023274968.1	447	N508_RS03255
NZ_CP097562.1	685782	686810		minus	Holliday junction branch migration DNA helicase RuvB	ruvB	0	protein-coding		WP_023274969.1	342	N508_RS03260
NZ_CP097562.1	686810	687382		minus	Holliday junction branch migration protein RuvA	ruvA	0	protein-coding		WP_023274970.1	190	N508_RS03265
NZ_CP097562.1	687405	687893		minus	crossover junction endodeoxyribonuclease RuvC	ruvC	0	protein-coding		WP_023274971.1	162	N508_RS03270
NZ_CP097562.1	687900	688643		minus	YebC/PmpR family DNA-binding transcriptional regulator		0	protein-coding		WP_023274972.1	247	N508_RS03275
NZ_CP097562.1	689175	689474		plus	HNH endonuclease		0	protein-coding		WP_023274973.1	99	N508_RS03280
NZ_CP097562.1	689553	690002		plus	hypothetical protein		0	protein-coding		WP_023274974.1	149	N508_RS03285
NZ_CP097562.1	690008	690604		plus	hypothetical protein		0	protein-coding		WP_023274975.1	198	N508_RS03290
NZ_CP097562.1	690625	691119		plus	hypothetical protein		0	protein-coding		WP_023274976.1	164	N508_RS03295
NZ_CP097562.1	691144	691653		plus	hypothetical protein		0	protein-coding		WP_023274977.1	169	N508_RS03300
NZ_CP097562.1	691669	692190		plus	hypothetical protein		0	protein-coding		WP_023274978.1	173	N508_RS03305
NZ_CP097562.1	692277	692879		plus	hypothetical protein		0	protein-coding		WP_023274979.1	200	N508_RS03310
NZ_CP097562.1	692860	693369		plus	hypothetical protein		0	protein-coding		WP_023274980.1	169	N508_RS03315
NZ_CP097562.1	693383	693886		plus	hypothetical protein		0	protein-coding		WP_023274981.1	167	N508_RS03320
NZ_CP097562.1	693888	694430		plus	hypothetical protein		0	protein-coding		WP_023274982.1	180	N508_RS03325
NZ_CP097562.1	694507	694878		plus	class II SORL domain-containing protein		0	protein-coding		WP_023274983.1	123	N508_RS03330
NZ_CP097562.1	695162	696058		minus	IS3 family transposase		0	protein-coding		WP_143815552.1	298	N508_RS03335
NZ_CP097562.1	695989	696546		minus	hypothetical protein		0	protein-coding		WP_023274985.1	185	N508_RS03340
NZ_CP097562.1	696788	698101		minus	hypothetical protein		0	protein-coding		WP_023274986.1	437	N508_RS03345
NZ_CP097562.1	698295	699494		minus	ABC transporter substrate-binding protein		0	protein-coding		WP_023274987.1	399	N508_RS03350
NZ_CP097562.1	699628	700218		plus	epoxyqueuosine reductase QueH		0	protein-coding		WP_023274988.1	196	N508_RS03355
NZ_CP097562.1	700299	701087		plus	cytochrome b5 domain-containing protein		0	protein-coding		WP_023274989.1	262	N508_RS03360
NZ_CP097562.1	701097	701948		plus	DHHA1 domain-containing protein		0	protein-coding		WP_023274990.1	283	N508_RS03365
NZ_CP097562.1	701949	702524		plus	ribosome biogenesis GTP-binding protein YihA/YsxC	yihA	0	protein-coding		WP_023274991.1	191	N508_RS03370
NZ_CP097562.1	702491	703084		plus	phospholipase D-like domain-containing protein		0	protein-coding		WP_023274992.1	197	N508_RS03375
NZ_CP097562.1	703135	703677		plus	hypothetical protein		0	protein-coding		WP_023274993.1	180	N508_RS03380
NZ_CP097562.1	703679	704212		plus	hypothetical protein		0	protein-coding		WP_023274994.1	177	N508_RS03385
NZ_CP097562.1	704347	704847		plus	DUF1269 domain-containing protein		0	protein-coding		WP_023274995.1	166	N508_RS03390
NZ_CP097562.1	705475	706473		minus	hypothetical protein		0	protein-coding		WP_023274996.1	332	N508_RS03395
NZ_CP097562.1	706489	708003		minus	hypothetical protein		0	protein-coding		WP_040636501.1	504	N508_RS03400
NZ_CP097562.1	708080	708568		minus	hypothetical protein		0	protein-coding		WP_023274998.1	162	N508_RS03405
NZ_CP097562.1	708790	710589		minus	polymorphic toxin type 44 domain-containing protein		0	protein-coding		WP_251930660.1	599	N508_RS03410
NZ_CP097562.1	710868	711368		plus	uncharacterized gene		0	pseudogene				N508_RS03415
NZ_CP097562.1	711901	712296		minus	ATP synthase F1 subunit epsilon	atpC	0	protein-coding		WP_023275002.1	131	N508_RS03420
NZ_CP097562.1	712299	713705		minus	F0F1 ATP synthase subunit beta	atpD	0	protein-coding		WP_023275003.1	468	N508_RS03425
NZ_CP097562.1	713720	714577		minus	ATP synthase F1 subunit gamma	atpG	0	protein-coding		WP_023275004.1	285	N508_RS03430
NZ_CP097562.1	714640	716148		minus	F0F1 ATP synthase subunit alpha	atpA	0	protein-coding		WP_023275005.1	502	N508_RS03435
NZ_CP097562.1	716206	716748		minus	ATP synthase F1 subunit delta	atpH	0	protein-coding		WP_023275006.1	180	N508_RS03440
NZ_CP097562.1	716752	717294		minus	ATP synthase F0 subunit B		0	protein-coding		WP_023275007.1	180	N508_RS03445
NZ_CP097562.1	717307	717738		minus	ATP synthase F0 subunit B		0	protein-coding		WP_023275008.1	143	N508_RS03450
NZ_CP097562.1	718783	719952		minus	phosphoglycerate kinase		0	protein-coding		WP_023275009.1	389	N508_RS03455
NZ_CP097562.1	720036	721034		minus	type I glyceraldehyde-3-phosphate dehydrogenase	gap	0	protein-coding		WP_023275010.1	332	N508_RS03460
NZ_CP097562.1	721253	721945		plus	DUF2461 domain-containing protein		0	protein-coding		WP_023275011.1	230	N508_RS03465
NZ_CP097562.1	722028	723239		plus	ankyrin repeat domain-containing protein		0	protein-coding		WP_023275012.1	403	N508_RS03470
NZ_CP097562.1	723802	725289		minus	methyl-accepting chemotaxis protein		0	protein-coding		WP_023275013.1	495	N508_RS03475
NZ_CP097562.1	725772	726575		minus	4-hydroxy-tetrahydrodipicolinate reductase	dapB	0	protein-coding		WP_023275014.1	267	N508_RS03480
NZ_CP097562.1	726590	727474		minus	4-hydroxy-tetrahydrodipicolinate synthase	dapA	0	protein-coding		WP_023275015.1	294	N508_RS03485
NZ_CP097562.1	727487	728299		minus	diaminopimelate epimerase	dapF	0	protein-coding		WP_023275016.1	270	N508_RS03490
